Origin,Destination,Product,Month,Quantity
India,India,DentalDefense Toothpaste,Apr2004,572.0
India,India,DentalDefense Toothpaste,May2004,548.0
India,India,DentalDefense Toothpaste,Jun2004,503.0
India,India,DentalDefense Toothpaste,Jul2004,490.0
India,India,DentalDefense Toothpaste,Aug2004,517.0
India,India,DentalDefense Toothpaste,Sep2004,540.0
India,India,DentalDefense Toothpaste,Oct2004,520.0
India,India,DentalDefense Toothpaste,Nov2004,534.0
India,India,DentalDefense Toothpaste,Dec2004,505.0
India,India,MorningBreeze Gum Care,Jan2004,1761.0
India,India,MorningBreeze Gum Care,Feb2004,1785.0
India,India,MorningBreeze Gum Care,Mar2004,1715.0
India,India,MorningBreeze Gum Care,Apr2004,1752.0
India,India,MorningBreeze Gum Care,May2004,1756.0
India,India,MorningBreeze Gum Care,Jun2004,1734.0
India,India,MorningBreeze Gum Care,Jul2004,1825.0
India,India,MorningBreeze Gum Care,Aug2004,1580.0
India,India,MorningBreeze Gum Care,Sep2004,1704.0
India,India,MorningBreeze Gum Care,Oct2004,1901.0
India,India,MorningBreeze Gum Care,Nov2004,1748.0
India,India,MorningBreeze Gum Care,Dec2004,1805.0
India,India,OralEase Plus Toothbrush,Jan2004,818.0
India,India,OralEase Plus Toothbrush,Feb2004,812.0
India,India,OralEase Plus Toothbrush,Mar2004,818.0
India,India,OralEase Plus Toothbrush,Apr2004,886.0
India,India,OralEase Plus Toothbrush,May2004,942.0
India,India,OralEase Plus Toothbrush,Jun2004,928.0
India,India,OralEase Plus Toothbrush,Jul2004,847.0
India,India,OralEase Plus Toothbrush,Aug2004,869.0
India,India,OralEase Plus Toothbrush,Sep2004,967.0
India,India,OralEase Plus Toothbrush,Oct2004,919.0
India,India,OralEase Plus Toothbrush,Nov2004,904.0
India,India,OralEase Plus Toothbrush,Dec2004,834.0
India,India,SmilesSoPure Waterpik,Jan2004,1517.0
India,India,SmilesSoPure Waterpik,Feb2004,1415.0
India,India,SmilesSoPure Waterpik,Mar2004,1552.0
India,India,SmilesSoPure Waterpik,Apr2004,1413.0
India,India,SmilesSoPure Waterpik,May2004,1364.0
India,India,SmilesSoPure Waterpik,Jun2004,1476.0
India,India,SmilesSoPure Waterpik,Jul2004,1449.0
India,India,SmilesSoPure Waterpik,Aug2004,1350.0
India,India,SmilesSoPure Waterpik,Sep2004,1484.0
India,India,SmilesSoPure Waterpik,Oct2004,1336.0
India,India,SmilesSoPure Waterpik,Nov2004,1288.0
India,India,SmilesSoPure Waterpik,Dec2004,1542.0
India,India,CleanSmile Floss Picks,Jan2004,1470.0
India,India,CleanSmile Floss Picks,Feb2004,1579.0
India,India,CleanSmile Floss Picks,Mar2004,1550.0
India,India,CleanSmile Floss Picks,Apr2004,1661.0
India,India,CleanSmile Floss Picks,May2004,1524.0
India,India,CleanSmile Floss Picks,Jun2004,1513.0
India,India,CleanSmile Floss Picks,Jul2004,1414.0
India,India,CleanSmile Floss Picks,Aug2004,1589.0
India,India,CleanSmile Floss Picks,Sep2004,1466.0
India,India,CleanSmile Floss Picks,Oct2004,1438.0
India,India,CleanSmile Floss Picks,Nov2004,1464.0
India,India,CleanSmile Floss Picks,Dec2004,1475.0
India,India,Purezza Body Wash,Jan2004,1993.0
India,India,Purezza Body Wash,Feb2004,1806.0
India,India,Purezza Body Wash,Mar2004,1954.0
India,India,Purezza Body Wash,Apr2004,1900.0
India,India,Purezza Body Wash,May2004,1817.0
India,India,Purezza Body Wash,Jun2004,1779.0
India,India,Purezza Body Wash,Jul2004,1708.0
India,India,Purezza Body Wash,Aug2004,1860.0
India,India,Purezza Body Wash,Sep2004,1952.0
India,India,Purezza Body Wash,Oct2004,1803.0
India,India,Purezza Body Wash,Nov2004,1880.0
India,India,Purezza Body Wash,Dec2004,1869.0
India,India,SilkSmooth Exfoliating Scrub,Jan2004,908.0
India,India,SilkSmooth Exfoliating Scrub,Feb2004,989.0
India,India,SilkSmooth Exfoliating Scrub,Mar2004,1053.0
India,India,SilkSmooth Exfoliating Scrub,Apr2004,1028.0
India,India,SilkSmooth Exfoliating Scrub,May2004,998.0
India,India,SilkSmooth Exfoliating Scrub,Jun2004,989.0
India,India,SilkSmooth Exfoliating Scrub,Jul2004,997.0
India,India,SilkSmooth Exfoliating Scrub,Aug2004,1034.0
India,India,SilkSmooth Exfoliating Scrub,Sep2004,981.0
India,India,SilkSmooth Exfoliating Scrub,Oct2004,1040.0
India,India,SilkSmooth Exfoliating Scrub,Nov2004,995.0
India,India,SilkSmooth Exfoliating Scrub,Dec2004,1044.0
India,India,CleanSkin Acne Treatment,Jan2004,1677.0
India,India,CleanSkin Acne Treatment,Feb2004,1584.0
India,India,CleanSkin Acne Treatment,Mar2004,1515.0
India,India,CleanSkin Acne Treatment,Apr2004,1682.0
India,India,CleanSkin Acne Treatment,May2004,1554.0
India,India,CleanSkin Acne Treatment,Jun2004,1508.0
India,India,CleanSkin Acne Treatment,Jul2004,1520.0
India,India,CleanSkin Acne Treatment,Aug2004,1588.0
India,India,CleanSkin Acne Treatment,Sep2004,1607.0
India,India,CleanSkin Acne Treatment,Oct2004,1650.0
India,India,CleanSkin Acne Treatment,Nov2004,1513.0
India,India,CleanSkin Acne Treatment,Dec2004,1583.0
India,India,SunShield SPF 50 Lotion,Jan2004,585.0
India,India,SunShield SPF 50 Lotion,Feb2004,614.0
India,India,SunShield SPF 50 Lotion,Mar2004,629.0
India,India,SunShield SPF 50 Lotion,Apr2004,614.0
India,India,SunShield SPF 50 Lotion,May2004,595.0
India,India,SunShield SPF 50 Lotion,Jun2004,599.0
India,India,SunShield SPF 50 Lotion,Jul2004,617.0
India,India,SunShield SPF 50 Lotion,Aug2004,620.0
India,India,SunShield SPF 50 Lotion,Sep2004,611.0
India,India,SunShield SPF 50 Lotion,Oct2004,603.0
India,India,SunShield SPF 50 Lotion,Nov2004,611.0
India,India,SunShield SPF 50 Lotion,Dec2004,576.0
India,India,Refreshing Rose Body Oil,Jan2004,803.0
India,India,Refreshing Rose Body Oil,Feb2004,837.0
India,India,Refreshing Rose Body Oil,Mar2004,748.0
India,India,Refreshing Rose Body Oil,Apr2004,818.0
India,India,Refreshing Rose Body Oil,May2004,753.0
India,India,Refreshing Rose Body Oil,Jun2004,756.0
India,India,Refreshing Rose Body Oil,Jul2004,713.0
India,India,Refreshing Rose Body Oil,Aug2004,848.0
India,India,Refreshing Rose Body Oil,Sep2004,766.0
India,India,Refreshing Rose Body Oil,Oct2004,831.0
India,India,Refreshing Rose Body Oil,Nov2004,631.0
India,India,Refreshing Rose Body Oil,Dec2004,925.0
India,India,Brightening Body Wash,Jan2004,1227.0
India,India,Brightening Body Wash,Feb2004,1209.0
India,India,Brightening Body Wash,Mar2004,1316.0
India,India,Brightening Body Wash,Apr2004,1251.0
India,India,Brightening Body Wash,May2004,1251.0
India,India,Brightening Body Wash,Jun2004,1152.0
India,India,Brightening Body Wash,Jul2004,1235.0
India,India,Brightening Body Wash,Aug2004,1210.0
India,India,Brightening Body Wash,Sep2004,1252.0
India,India,Brightening Body Wash,Oct2004,1206.0
India,India,Brightening Body Wash,Nov2004,1321.0
India,India,Brightening Body Wash,Dec2004,1190.0
India,India,SmoothOperator Shaving Gel,Jan2004,1063.0
India,India,SmoothOperator Shaving Gel,Feb2004,1143.0
India,India,SmoothOperator Shaving Gel,Mar2004,1067.0
India,India,SmoothOperator Shaving Gel,Apr2004,1120.0
India,India,SmoothOperator Shaving Gel,May2004,1036.0
India,India,SmoothOperator Shaving Gel,Jun2004,1134.0
India,India,SmoothOperator Shaving Gel,Jul2004,1193.0
India,India,SmoothOperator Shaving Gel,Aug2004,1064.0
India,India,SmoothOperator Shaving Gel,Sep2004,1110.0
India,India,SmoothOperator Shaving Gel,Oct2004,1078.0
India,India,SmoothOperator Shaving Gel,Nov2004,1078.0
India,India,SmoothOperator Shaving Gel,Dec2004,1101.0
India,India,GentleGlow Face Cleanser,Jan2004,1354.0
India,India,GentleGlow Face Cleanser,Feb2004,1439.0
India,India,GentleGlow Face Cleanser,Mar2004,1294.0
India,India,GentleGlow Face Cleanser,Apr2004,1413.0
India,India,GentleGlow Face Cleanser,May2004,1213.0
India,India,GentleGlow Face Cleanser,Jun2004,1300.0
India,India,GentleGlow Face Cleanser,Jul2004,1426.0
India,India,GentleGlow Face Cleanser,Aug2004,1370.0
India,India,GentleGlow Face Cleanser,Sep2004,1418.0
India,India,GentleGlow Face Cleanser,Oct2004,1426.0
India,India,GentleGlow Face Cleanser,Nov2004,1352.0
India,India,GentleGlow Face Cleanser,Dec2004,1359.0
India,India,PurePore Toner,Jan2004,1835.0
India,India,PurePore Toner,Feb2004,1847.0
India,India,PurePore Toner,Mar2004,1925.0
India,India,PurePore Toner,Apr2004,1810.0
India,India,PurePore Toner,May2004,1822.0
India,India,PurePore Toner,Jun2004,1884.0
India,India,PurePore Toner,Jul2004,1720.0
India,India,PurePore Toner,Aug2004,1896.0
India,India,PurePore Toner,Sep2004,1896.0
India,India,PurePore Toner,Oct2004,1787.0
India,India,PurePore Toner,Nov2004,1842.0
India,India,PurePore Toner,Dec2004,2009.0
India,India,Hydrating Honey Body Lotion,Jan2004,1451.0
India,India,Hydrating Honey Body Lotion,Feb2004,1344.0
India,India,Hydrating Honey Body Lotion,Mar2004,1466.0
India,India,Hydrating Honey Body Lotion,Apr2004,1426.0
India,India,Hydrating Honey Body Lotion,May2004,1496.0
India,India,Hydrating Honey Body Lotion,Jun2004,1504.0
India,India,Hydrating Honey Body Lotion,Jul2004,1478.0
India,India,Hydrating Honey Body Lotion,Aug2004,1517.0
India,India,Hydrating Honey Body Lotion,Sep2004,1511.0
India,India,Hydrating Honey Body Lotion,Oct2004,1455.0
India,India,Hydrating Honey Body Lotion,Nov2004,1498.0
India,India,Hydrating Honey Body Lotion,Dec2004,1577.0
India,India,EasyWash Laundry Detergent,Jan2004,1440.0
India,India,EasyWash Laundry Detergent,Feb2004,1449.0
India,India,EasyWash Laundry Detergent,Mar2004,1478.0
India,India,EasyWash Laundry Detergent,Apr2004,1359.0
India,India,EasyWash Laundry Detergent,May2004,1514.0
India,India,EasyWash Laundry Detergent,Jun2004,1459.0
India,India,EasyWash Laundry Detergent,Jul2004,1370.0
India,India,EasyWash Laundry Detergent,Aug2004,1533.0
India,India,EasyWash Laundry Detergent,Sep2004,1430.0
India,India,EasyWash Laundry Detergent,Oct2004,1525.0
India,India,EasyWash Laundry Detergent,Nov2004,1570.0
India,India,EasyWash Laundry Detergent,Dec2004,1387.0
India,India,FreshFusion Diaper Rash Remedy,Jan2004,741.0
India,India,FreshFusion Diaper Rash Remedy,Feb2004,752.0
India,India,FreshFusion Diaper Rash Remedy,Mar2004,765.0
India,India,FreshFusion Diaper Rash Remedy,Apr2004,811.0
India,India,FreshFusion Diaper Rash Remedy,May2004,820.0
India,India,FreshFusion Diaper Rash Remedy,Jun2004,811.0
India,India,FreshFusion Diaper Rash Remedy,Jul2004,738.0
India,India,FreshFusion Diaper Rash Remedy,Aug2004,779.0
India,India,FreshFusion Diaper Rash Remedy,Sep2004,721.0
India,India,FreshFusion Diaper Rash Remedy,Oct2004,771.0
India,India,FreshFusion Diaper Rash Remedy,Nov2004,742.0
India,India,FreshFusion Diaper Rash Remedy,Dec2004,800.0
India,India,PurePore Baby Lotion,Jan2004,822.0
India,India,PurePore Baby Lotion,Feb2004,799.0
India,India,PurePore Baby Lotion,Mar2004,808.0
India,India,PurePore Baby Lotion,Apr2004,817.0
India,India,PurePore Baby Lotion,May2004,830.0
India,India,PurePore Baby Lotion,Jun2004,770.0
India,India,PurePore Baby Lotion,Jul2004,854.0
India,India,PurePore Baby Lotion,Aug2004,844.0
India,India,PurePore Baby Lotion,Sep2004,795.0
India,India,PurePore Baby Lotion,Oct2004,776.0
India,India,PurePore Baby Lotion,Nov2004,862.0
India,India,PurePore Baby Lotion,Dec2004,787.0
India,India,SilkySkin Baby Cream,Jan2004,889.0
India,India,SilkySkin Baby Cream,Feb2004,895.0
India,India,SilkySkin Baby Cream,Mar2004,887.0
India,India,SilkySkin Baby Cream,Apr2004,848.0
India,India,SilkySkin Baby Cream,May2004,858.0
India,India,SilkySkin Baby Cream,Jun2004,847.0
India,India,SilkySkin Baby Cream,Jul2004,854.0
India,India,SilkySkin Baby Cream,Aug2004,972.0
India,India,SilkySkin Baby Cream,Sep2004,946.0
India,India,SilkySkin Baby Cream,Oct2004,835.0
India,India,SilkySkin Baby Cream,Nov2004,926.0
India,India,SilkySkin Baby Cream,Dec2004,929.0
India,India,RadiantRose Baby Massage Oil,Jan2004,1257.0
India,India,RadiantRose Baby Massage Oil,Feb2004,1162.0
India,India,RadiantRose Baby Massage Oil,Mar2004,1165.0
India,India,RadiantRose Baby Massage Oil,Apr2004,1177.0
India,India,RadiantRose Baby Massage Oil,May2004,1219.0
India,India,RadiantRose Baby Massage Oil,Jun2004,1120.0
India,India,RadiantRose Baby Massage Oil,Jul2004,1106.0
India,India,RadiantRose Baby Massage Oil,Aug2004,1092.0
India,India,RadiantRose Baby Massage Oil,Sep2004,989.0
India,India,RadiantRose Baby Massage Oil,Oct2004,1056.0
India,India,RadiantRose Baby Massage Oil,Nov2004,1109.0
India,India,RadiantRose Baby Massage Oil,Dec2004,967.0
India,India,SoothingSerenity Baby Rub,Jan2004,1233.0
India,India,SoothingSerenity Baby Rub,Feb2004,1124.0
India,India,SoothingSerenity Baby Rub,Mar2004,1228.0
India,India,SoothingSerenity Baby Rub,Apr2004,1274.0
India,India,SoothingSerenity Baby Rub,May2004,1208.0
India,India,SoothingSerenity Baby Rub,Jun2004,1160.0
India,India,SoothingSerenity Baby Rub,Jul2004,1116.0
India,India,SoothingSerenity Baby Rub,Aug2004,1240.0
India,India,SoothingSerenity Baby Rub,Sep2004,1250.0
India,India,SoothingSerenity Baby Rub,Oct2004,1013.0
India,India,SoothingSerenity Baby Rub,Nov2004,1208.0
India,India,SoothingSerenity Baby Rub,Dec2004,1239.0
India,India,CalmingClean Diaper Rash Cream,Jan2004,1746.0
India,India,CalmingClean Diaper Rash Cream,Feb2004,1729.0
India,India,CalmingClean Diaper Rash Cream,Mar2004,1647.0
India,India,CalmingClean Diaper Rash Cream,Apr2004,1724.0
India,India,CalmingClean Diaper Rash Cream,May2004,1714.0
India,India,CalmingClean Diaper Rash Cream,Jun2004,1653.0
India,India,CalmingClean Diaper Rash Cream,Jul2004,1637.0
India,India,CalmingClean Diaper Rash Cream,Aug2004,1774.0
India,India,CalmingClean Diaper Rash Cream,Sep2004,1691.0
India,India,CalmingClean Diaper Rash Cream,Oct2004,1771.0
India,India,CalmingClean Diaper Rash Cream,Nov2004,1782.0
India,India,CalmingClean Diaper Rash Cream,Dec2004,1721.0
India,India,FreshFusion Baby Wipes,Jan2004,1678.0
India,India,FreshFusion Baby Wipes,Feb2004,1966.0
India,India,FreshFusion Baby Wipes,Mar2004,1690.0
India,India,FreshFusion Baby Wipes,Apr2004,1669.0
India,India,FreshFusion Baby Wipes,May2004,1862.0
India,India,FreshFusion Baby Wipes,Jun2004,1792.0
India,India,FreshFusion Baby Wipes,Jul2004,1697.0
India,India,FreshFusion Baby Wipes,Aug2004,1693.0
India,India,FreshFusion Baby Wipes,Sep2004,1742.0
India,India,FreshFusion Baby Wipes,Oct2004,1776.0
India,India,FreshFusion Baby Wipes,Nov2004,1801.0
India,India,FreshFusion Baby Wipes,Dec2004,1786.0
India,India,GentleGlow Baby Face Wash,Jan2004,544.0
India,India,GentleGlow Baby Face Wash,Feb2004,567.0
India,India,GentleGlow Baby Face Wash,Mar2004,594.0
India,India,GentleGlow Baby Face Wash,Apr2004,530.0
India,India,GentleGlow Baby Face Wash,May2004,517.0
India,India,GentleGlow Baby Face Wash,Jun2004,597.0
India,India,GentleGlow Baby Face Wash,Jul2004,547.0
India,India,GentleGlow Baby Face Wash,Aug2004,538.0
India,India,GentleGlow Baby Face Wash,Sep2004,574.0
India,India,GentleGlow Baby Face Wash,Oct2004,523.0
India,India,GentleGlow Baby Face Wash,Nov2004,593.0
India,India,GentleGlow Baby Face Wash,Dec2004,563.0
India,India,BrightBreeze Baby Sunscreen Stick,Jan2004,900.0
India,India,BrightBreeze Baby Sunscreen Stick,Feb2004,911.0
India,India,BrightBreeze Baby Sunscreen Stick,Mar2004,866.0
India,India,BrightBreeze Baby Sunscreen Stick,Apr2004,939.0
India,India,BrightBreeze Baby Sunscreen Stick,May2004,1041.0
India,India,BrightBreeze Baby Sunscreen Stick,Jun2004,918.0
India,India,BrightBreeze Baby Sunscreen Stick,Jul2004,934.0
India,India,BrightBreeze Baby Sunscreen Stick,Aug2004,998.0
India,India,BrightBreeze Baby Sunscreen Stick,Sep2004,976.0
India,India,BrightBreeze Baby Sunscreen Stick,Oct2004,995.0
India,India,BrightBreeze Baby Sunscreen Stick,Nov2004,1010.0
India,India,BrightBreeze Baby Sunscreen Stick,Dec2004,1037.0
India,India,LuminousLocks Shampoo,Jan2004,828.0
India,India,LuminousLocks Shampoo,Feb2004,813.0
India,India,LuminousLocks Shampoo,Mar2004,812.0
India,India,LuminousLocks Shampoo,Apr2004,855.0
India,India,LuminousLocks Shampoo,May2004,758.0
India,India,LuminousLocks Shampoo,Jun2004,838.0
India,India,LuminousLocks Shampoo,Jul2004,793.0
India,India,LuminousLocks Shampoo,Aug2004,843.0
India,India,LuminousLocks Shampoo,Sep2004,822.0
India,India,LuminousLocks Shampoo,Oct2004,827.0
India,India,LuminousLocks Shampoo,Nov2004,809.0
India,India,LuminousLocks Shampoo,Dec2004,734.0
India,India,SilkSmooth Conditioner,Jan2004,399.0
India,India,SilkSmooth Conditioner,Feb2004,387.0
India,India,SilkSmooth Conditioner,Mar2004,346.0
India,India,SilkSmooth Conditioner,Apr2004,396.0
India,India,SilkSmooth Conditioner,May2004,364.0
India,India,SilkSmooth Conditioner,Jun2004,350.0
India,India,SilkSmooth Conditioner,Jul2004,359.0
India,India,SilkSmooth Conditioner,Aug2004,429.0
India,India,SilkSmooth Conditioner,Sep2004,356.0
India,India,SilkSmooth Conditioner,Oct2004,381.0
India,India,SilkSmooth Conditioner,Nov2004,371.0
India,India,SilkSmooth Conditioner,Dec2004,411.0
India,India,FreshFusion Hair Mask,Jan2004,636.0
India,India,FreshFusion Hair Mask,Feb2004,648.0
India,India,FreshFusion Hair Mask,Mar2004,640.0
India,India,FreshFusion Hair Mask,Apr2004,603.0
India,India,FreshFusion Hair Mask,May2004,558.0
India,India,FreshFusion Hair Mask,Jun2004,610.0
India,India,FreshFusion Hair Mask,Jul2004,605.0
India,India,FreshFusion Hair Mask,Aug2004,607.0
India,India,FreshFusion Hair Mask,Sep2004,668.0
India,India,FreshFusion Hair Mask,Oct2004,618.0
India,India,FreshFusion Hair Mask,Nov2004,603.0
India,India,FreshFusion Hair Mask,Dec2004,577.0
India,India,SoothingSerenity Scalp Treatment,Jan2004,789.0
India,India,SoothingSerenity Scalp Treatment,Feb2004,810.0
India,India,SoothingSerenity Scalp Treatment,Mar2004,786.0
India,India,SoothingSerenity Scalp Treatment,Apr2004,688.0
India,India,SoothingSerenity Scalp Treatment,May2004,749.0
India,India,SoothingSerenity Scalp Treatment,Jun2004,738.0
India,India,SoothingSerenity Scalp Treatment,Jul2004,833.0
India,India,SoothingSerenity Scalp Treatment,Aug2004,752.0
India,India,SoothingSerenity Scalp Treatment,Sep2004,735.0
India,India,SoothingSerenity Scalp Treatment,Oct2004,791.0
India,India,SoothingSerenity Scalp Treatment,Nov2004,788.0
India,India,SoothingSerenity Scalp Treatment,Dec2004,772.0
India,India,PurePore Sanitary Belt,Jan2004,1439.0
India,India,PurePore Sanitary Belt,Feb2004,1377.0
India,India,PurePore Sanitary Belt,Mar2004,1481.0
India,India,PurePore Sanitary Belt,Apr2004,1376.0
India,India,PurePore Sanitary Belt,May2004,1345.0
India,India,PurePore Sanitary Belt,Jun2004,1452.0
India,India,PurePore Sanitary Belt,Jul2004,1505.0
India,India,PurePore Sanitary Belt,Aug2004,1536.0
India,India,PurePore Sanitary Belt,Sep2004,1405.0
India,India,PurePore Sanitary Belt,Oct2004,1460.0
India,India,PurePore Sanitary Belt,Nov2004,1462.0
India,India,PurePore Sanitary Belt,Dec2004,1514.0
India,India,SmellSational Intimate Spray,Jan2004,1786.0
India,India,SmellSational Intimate Spray,Feb2004,1931.0
India,India,SmellSational Intimate Spray,Mar2004,1821.0
India,India,SmellSational Intimate Spray,Apr2004,1830.0
India,India,SmellSational Intimate Spray,May2004,1809.0
India,India,SmellSational Intimate Spray,Jun2004,1759.0
India,India,SmellSational Intimate Spray,Jul2004,1990.0
India,India,SmellSational Intimate Spray,Aug2004,1630.0
India,India,SmellSational Intimate Spray,Sep2004,1944.0
India,India,SmellSational Intimate Spray,Oct2004,1801.0
India,India,SmellSational Intimate Spray,Nov2004,1915.0
India,India,SmellSational Intimate Spray,Dec2004,1922.0
India,India,SoftStep Shaving Cream for Women,Jan2004,704.0
India,India,SoftStep Shaving Cream for Women,Feb2004,817.0
India,India,SoftStep Shaving Cream for Women,Mar2004,804.0
India,India,SoftStep Shaving Cream for Women,Apr2004,819.0
India,India,SoftStep Shaving Cream for Women,May2004,772.0
India,India,SoftStep Shaving Cream for Women,Jun2004,773.0
India,India,SoftStep Shaving Cream for Women,Jul2004,799.0
India,India,SoftStep Shaving Cream for Women,Aug2004,883.0
India,India,SoftStep Shaving Cream for Women,Sep2004,776.0
India,India,SoftStep Shaving Cream for Women,Oct2004,740.0
India,India,SoftStep Shaving Cream for Women,Nov2004,819.0
India,India,SoftStep Shaving Cream for Women,Dec2004,840.0
India,India,SoothingSerenity Humidifier,Jan2004,1341.0
India,India,SoothingSerenity Humidifier,Feb2004,1260.0
India,India,SoothingSerenity Humidifier,Mar2004,1195.0
India,India,SoothingSerenity Humidifier,Apr2004,1357.0
India,India,SoothingSerenity Humidifier,May2004,1277.0
India,India,SoothingSerenity Humidifier,Jun2004,1226.0
India,India,SoothingSerenity Humidifier,Jul2004,1371.0
India,India,SoothingSerenity Humidifier,Aug2004,1184.0
India,India,SoothingSerenity Humidifier,Sep2004,1203.0
India,India,SoothingSerenity Humidifier,Oct2004,1312.0
India,India,SoothingSerenity Humidifier,Nov2004,1314.0
India,India,SoothingSerenity Humidifier,Dec2004,1314.0
India,India,SoothingPaws Cat Lotion,Jan2004,1637.0
India,India,SoothingPaws Cat Lotion,Feb2004,1764.0
India,India,SoothingPaws Cat Lotion,Mar2004,1733.0
India,India,SoothingPaws Cat Lotion,Apr2004,1736.0
India,India,SoothingPaws Cat Lotion,May2004,1764.0
India,India,SoothingPaws Cat Lotion,Jun2004,1624.0
India,India,SoothingPaws Cat Lotion,Jul2004,1885.0
India,India,SoothingPaws Cat Lotion,Aug2004,1748.0
India,India,SoothingPaws Cat Lotion,Sep2004,1744.0
India,India,SoothingPaws Cat Lotion,Oct2004,1774.0
India,India,SoothingPaws Cat Lotion,Nov2004,1733.0
India,India,SoothingPaws Cat Lotion,Dec2004,1755.0
India,India,RadiantRover Pet Conditioner,Jan2004,612.0
India,India,RadiantRover Pet Conditioner,Feb2004,542.0
India,India,RadiantRover Pet Conditioner,Mar2004,561.0
India,India,RadiantRover Pet Conditioner,Apr2004,577.0
India,India,RadiantRover Pet Conditioner,May2004,538.0
India,India,RadiantRover Pet Conditioner,Jun2004,505.0
India,India,RadiantRover Pet Conditioner,Jul2004,578.0
India,India,RadiantRover Pet Conditioner,Aug2004,544.0
India,India,RadiantRover Pet Conditioner,Sep2004,569.0
India,India,RadiantRover Pet Conditioner,Oct2004,526.0
India,India,RadiantRover Pet Conditioner,Nov2004,525.0
India,India,RadiantRover Pet Conditioner,Dec2004,602.0
India,United Kingdom,FreshStart Toothpaste,Jun2004,918.0
India,United Kingdom,SmileShield Whitening Strips,Jul2004,1668.0
India,United Kingdom,SmileShield Whitening Strips,Sep2004,1425.0
India,United Kingdom,SmileShield Whitening Strips,Oct2004,1362.0
India,United Kingdom,LuminousLip Care,Sep2004,2213.0
India,United Kingdom,CleanSlate Mouthwash,Jan2004,1602.0
India,United Kingdom,CleanSlate Mouthwash,Sep2004,1658.0
India,United Kingdom,CleanSlate Mouthwash,Nov2004,1760.0
India,United Kingdom,OralEase Gel,Apr2004,1900.0
India,United Kingdom,OralEase Gel,Nov2004,1948.0
India,United Kingdom,DentalDefense Toothpaste,Feb2004,743.0
India,United Kingdom,DentalDefense Toothpaste,Sep2004,769.0
India,United Kingdom,SparklingSmile Water Flosser,Mar2004,1299.0
India,United Kingdom,SparklingSmile Water Flosser,Aug2004,269.0
India,United Kingdom,FreshFusion Mouth Rinse,May2004,930.0
India,United Kingdom,SmileSavvy Tooth Whitening Kit,Oct2004,533.0
India,United Kingdom,DailyDazzle Toothpaste,Apr2004,507.0
India,United Kingdom,MorningBreeze Gum Care,Feb2004,720.0
India,United Kingdom,MorningBreeze Gum Care,Apr2004,629.0
India,United Kingdom,MorningBreeze Gum Care,May2004,670.0
India,United Kingdom,MorningBreeze Gum Care,Oct2004,628.0
India,United Kingdom,CleanSmile Floss Picks,Jun2004,1004.0
India,United Kingdom,CleanSmile Floss Picks,Nov2004,1033.0
India,United Kingdom,FreshFix Mouthwash,Jan2004,722.0
